Date , Competitve Coding , Web Development , Algorithms , Making Your Way , Class , Day's Total , All-Time Total
2017-06-24,0H0M18S,0H0M0S,0H0M0S,0H0M0S,0H0M0S,0H0M18S,0H0M18S
2017-06-24,0H0M0S,0H0M0S,0H0M0S,0H0M0S,0H0M0S,0H0M0S,0H0M0S
